url,price_no_discount,price_with_discount
https://prima-coffee.com/equipment/technivorm/53937-techn-pp,,359.00
https://prima-coffee.com/equipment/marco/5001940c3b-marco-sp,,3555.00
https://prima-coffee.com/equipment/marco/1000832us-marco-pp,,5551.00
https://prima-coffee.com/equipment/chemex/3-cup-chemex,44.15,41.94
https://prima-coffee.com/equipment/kalita/35159,,67.20
https://prima-coffee.com/equipment/curtis/cgc,,1509.99
https://prima-coffee.com/equipment/espro/espro-press,,119.95
https://prima-coffee.com/equipment/hario/evkb-80u-hsv,,86.50
https://prima-coffee.com/equipment/curtis/g4tp1s63a3100,2346.00,1514.99
https://prima-coffee.com/equipment/curtis/g4tp2s63a3100,,1689.99
https://prima-coffee.com/equipment/curtis/g4tp2t10a3100,,2529.99
https://prima-coffee.com/equipment/hatfields-london/hlc-0001-hatfi,,15.99
https://prima-coffee.com/equipment/hario/nxa-5,,115.00
https://prima-coffee.com/equipment/turbo-air/tbd-2sbd-n6,,3889.99
https://prima-coffee.com/equipment/hario/tca-5,,96.50
https://prima-coffee.com/equipment/hario/vd-03t,,15.50
https://prima-coffee.com/equipment/hario/vdg-01-ov,,42.50
https://prima-coffee.com/equipment/hario/vdp-02cp,,69.50
https://prima-coffee.com/equipment/hario/vic-02b,,24.50
https://prima-coffee.com/equipment/yama/yamcdm25sbk-yama-pp,,470.00
https://prima-coffee.com/equipment/yama/yamtca3d,,70.00
https://prima-coffee.com/equipment/yama/yamtca5d,,78.00
https://prima-coffee.com/equipment/hario/vdd-02b,,30.50
https://prima-coffee.com/equipment/kegco/nitro-conversion-kit,,450.00
https://prima-coffee.com/equipment/kegco/ick-19b-1,,1424.99
https://prima-coffee.com/equipment/yama/yamcdm8c,,310.00
https://prima-coffee.com/equipment/yield-design-co/frs-gry,,119.99
https://prima-coffee.com/equipment/curtis/g4gemxtift10a1000,,3379.99
https://prima-coffee.com/equipment/curtis/gemxsift63a1000,,2049.99
https://prima-coffee.com/equipment/curtis/gemxtift10a1000,,3159.99
https://prima-coffee.com/equipment/curtis/g4gemxsift63a1000,,2349.99
https://prima-coffee.com/equipment/aeropress/10r11-aerop-sp,,49.95
https://prima-coffee.com/equipment/baratza/s916-b-barat-sp,,24.00
https://prima-coffee.com/equipment/prima/filter-grinding-bundle-prima-bp,,76.99
https://prima-coffee.com/equipment/fetco/f00800000-fetco-sp,,39.99
https://prima-coffee.com/equipment/brewista/bssrb2-brewi-sp,,89.95
https://prima-coffee.com/equipment/prima-coffee/thcffbrwrlg-th-co-sp,,30.00
https://prima-coffee.com/equipment/rhino-coffee-gear/rhbnscp-rh-co-sp,,39.95
